型番名,メーカー,製品名,kakaku_item_url,lowest_price_yen,rating,review_people,bbs_count,hint
RAS-U251DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U281DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U361DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U402DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U221DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U251DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U281DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U361DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U402DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U221E5DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-U251E5DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-U281E5DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-U361E5DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-U402E5DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-J221E1DT,トウシバ,大清快,,,,,,item_url_not_found
RAS-J251E1DT,トウシバ,大清快,,,,,,item_url_not_found
RAS-J221DTKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-J251DTKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-J221DTBK,トウシバ,大清快,,,,,,item_url_not_found
RAS-J251DTBK,トウシバ,大清快,,,,,,item_url_not_found
RAS-F225DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-F255DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-F285DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-F406DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-H225DR,トウシバ,大清快,https://kakaku.com/item/K0001355885/,,,,,search_hit:https://search.kakaku.com/RAS-H225DR/ | item:ok_no_data
RAS-H255DR,トウシバ,大清快,https://kakaku.com/item/K0001355886/,,,,,search_hit:https://search.kakaku.com/RAS-H255DR/ | item:ok_no_data
RAS-H285DR,トウシバ,大清快,https://kakaku.com/item/K0001355887/,,,,,search_hit:https://search.kakaku.com/RAS-H285DR/ | item:ok_no_data
RAS-H406DR,トウシバ,大清快,https://kakaku.com/item/K0001355890/,,,,,search_hit:https://search.kakaku.com/RAS-H406DR/ | item:ok_no_data
RAS-H225DRH,トウシバ,大清快,https://kakaku.com/item/K0001355885/,,,,,search_hit:https://search.kakaku.com/RAS-H225DRH/ | item:ok_no_data
RAS-H255DRH,トウシバ,大清快,https://kakaku.com/item/K0001355886/,,,,,search_hit:https://search.kakaku.com/RAS-H255DRH/ | item:ok_no_data
RAS-H285DRH,トウシバ,大清快,https://kakaku.com/item/K0001355887/,,,,,search_hit:https://search.kakaku.com/RAS-H285DRH/ | item:ok_no_data
RAS-H406DRH,トウシバ,大清快,https://kakaku.com/item/K0001355890/,,,,,search_hit:https://search.kakaku.com/RAS-H406DRH/ | item:ok_no_data
RAS-H221E9DT,トウシバ,大清快,,,,,,item_url_not_found
RAS-H251E9DT,トウシバ,大清快,,,,,,item_url_not_found
RAS-H221DTKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-H251DTKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-H221DTBK,トウシバ,大清快,,,,,,item_url_not_found
RAS-H251DTBK,トウシバ,大清快,,,,,,item_url_not_found
RAS-U221DZKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U251DZKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U221E5DZ,トウシバ,大清快,,,,,,item_url_not_found
RAS-U251E5DZ,トウシバ,大清快,,,,,,item_url_not_found
RAS-E221C5S,トウシバ,ルームエアコン,,,,,,item_url_not_found
RAS-E251C5S,トウシバ,ルームエアコン,,,,,,item_url_not_found
RAS-E281C5S,トウシバ,ルームエアコン,,,,,,item_url_not_found
RAS-V221DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V251DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V281DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V361DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V402DRS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V221DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V251DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V281DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V361DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V402DRKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-V221E6DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-V251E6DR,トウシバ,大清快,,,,,,item_url_not_found
